City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,panaba,0,MX,1551694225,86,21.28,-88.27,71.9,4.21
88,trairi,92,BR,1551694226,100,-3.28,-39.27,77.53,11.81
89,fortuna,0,ES,1551694218,40,38.18,-1.13,71.01,6.93
90,peniche,20,PT,1551694223,82,39.36,-9.38,59.0,6.93
91,sal rei,20,CV,1551690000,82,16.18,-22.92,69.8,13.87
92,san cristobal,40,EC,1551693656,93,-0.39,-78.55,53.6,2.37
93,panjakent,40,UZ,1551691800,54,39.5,67.61,59.0,20.8
94,dingle,48,PH,1551694228,63,11.0,122.67,83.83,12.15
95,hambantota,90,LK,1551690600,79,6.12,81.12,86.0,9.17
96,sibolga,56,ID,1551694228,97,1.74,98.78,74.06,0.85
97,kaili,80,ID,1551694229,82,-3.46,120.21,76.27,1.59
98,zelenikovo,0,BG,1551693615,57,41.66,25.33,53.01,3.36
99,pringsewu,24,ID,1551694177,73,-5.36,104.98,85.04,4.5
100,bandarbeyla,8,SO,1551694229,100,9.49,50.81,78.07,8.75
101,gandhinagar,0,IN,1551693600,25,23.22,72.65,84.2,9.17
102,san patricio,0,PY,1551694230,78,-26.98,-56.83,68.98,4.38
103,east london,0,ZA,1551690840,53,-33.02,27.91,77.0,24.16
104,belomorsk,12,RU,1551694230,89,64.52,34.76,9.35,5.39
105,kavaratti,36,IN,1551694232,100,10.57,72.64,81.76,9.8
106,sibay,80,RU,1551694232,84,52.72,58.67,17.09,17.29
107,luderitz,0,NA,1551694232,90,-26.65,15.16,67.49,15.68
108,beaufort,75,MY,1551691800,83,5.36,115.76,82.4,9.17
109,buchanan,75,LR,1551690000,100,5.88,-10.05,75.2,4.54
110,georgetown,90,GY,1551690000,100,6.8,-58.16,73.4,11.41
111,mahebourg,20,MU,1551694145,62,-20.41,57.7,87.8,11.41
112,grand gaube,20,MU,1551694145,62,-20.01,57.66,87.8,11.41
113,avarua,88,CK,1551691800,74,-21.21,-159.78,78.8,5.82
114,provideniya,80,RU,1551694236,94,64.42,-173.23,30.82,15.39
115,salalah,0,OM,1551694236,94,17.01,54.1,78.07,3.09
116,gornyak,0,KZ,1551694236,96,51.0,81.46,35.9,9.24
117,xuddur,0,SO,1551694237,43,4.12,43.89,90.26,12.37
118,ambulu,56,ID,1551694237,100,-8.35,113.61,82.79,5.73
119,shimoda,75,JP,1551694212,100,34.7,138.93,51.8,10.29
120,redmond,1,US,1551694130,94,47.67,-122.12,34.0,9.17
121,kahului,40,US,1551693983,60,20.89,-156.47,71.6,17.22
122,la ciotat,75,FR,1551694152,76,43.17,5.6,57.99,9.17
123,katherine,100,AU,1551693600,48,-14.47,132.26,87.8,4.7
124,grand-lahou,32,CI,1551694239,68,5.24,-5.0,85.58,5.21
125,roald,75,NO,1551694202,80,62.58,6.12,41.0,17.22
126,ahipara,36,NZ,1551694048,93,-35.17,173.16,63.0,6.73
127,qaanaaq,56,GL,1551694240,75,77.48,-69.36,-4.02,5.28
128,pisco,56,PE,1551693600,77,-13.71,-76.2,69.8,2.04
129,boda,40,BD,1551691800,44,26.2,88.56,80.6,4.7
130,beeville,90,US,1551694051,64,28.4,-97.75,39.99,17.22
131,charters towers,80,AU,1551694241,60,-20.07,146.27,79.55,8.75
132,xiazhen,75,TW,1551694207,60,23.89,120.95,73.0,11.41
133,ahvaz,0,IR,1551691800,28,31.32,48.68,69.8,6.93
134,mar del plata,0,AR,1551694241,71,-46.43,-67.52,49.58,18.37
135,sao filipe,0,CV,1551694242,93,14.9,-24.5,70.96,17.13
136,mitsamiouli,75,KM,1551690000,74,-11.38,43.28,84.2,4.7
137,aklavik,90,CA,1551692220,85,68.22,-135.01,23.0,5.82
138,husavik,64,CA,1551694205,87,50.56,-96.99,-0.01,13.0
139,vostok,48,RU,1551694243,51,46.45,135.83,29.92,3.87
140,hofn,75,IS,1551690000,100,64.25,-15.21,32.0,14.99
141,dasoguz,75,TM,1551693600,49,41.84,59.97,46.4,4.7
142,matagami,0,NG,1551694243,42,9.67,8.4,85.4,4.61
143,sept-iles,90,CA,1551693655,78,50.2,-66.38,17.01,13.87
144,portland,1,US,1551693954,39,45.52,-122.67,28.99,19.46
145,rameshki,68,RU,1551694244,94,57.35,36.05,20.69,8.9
146,yeppoon,8,AU,1551693600,65,-23.13,150.74,78.8,12.75
147,dikson,0,RU,1551694245,77,73.51,80.55,-4.02,6.33
148,walvis bay,0,NA,1551690000,64,-22.95,14.51,73.4,3.36
149,esperance,20,TT,1551693644,94,10.24,-61.45,73.4,7.29
150,lebu,75,ET,1551690000,40,8.96,38.73,73.4,9.17
151,kodiak,1,US,1551694109,33,39.95,-94.76,1.4,10.29
152,nuuk,64,GL,1551689400,73,64.17,-51.74,23.0,9.17
153,biltine,20,TD,1551694246,20,14.53,20.93,92.74,3.04
154,yellowknife,5,CA,1551693876,64,62.45,-114.38,-0.01,10.29
155,gravelbourg,0,CA,1551694247,66,49.88,-106.56,-6.0,14.27
156,kadiri,0,IN,1551694247,33,14.11,78.16,98.81,4.27
157,maldonado,0,UY,1551693600,88,-34.91,-54.96,64.4,10.29
158,williamsport,90,US,1551694038,74,41.25,-77.0,30.2,10.29
159,oeiras do para,88,BR,1551694248,97,-2.0,-49.85,75.05,7.4
160,ostersund,90,SE,1551693698,92,63.18,14.64,21.0,3.36
161,port lincoln,0,AU,1551694248,89,-34.72,135.86,66.86,11.36
162,villa carlos paz,75,AR,1551693600,100,-31.42,-64.5,62.6,6.93
163,turukhansk,88,RU,1551694249,88,65.8,87.96,26.32,22.1
164,rawlins,90,US,1551693634,84,41.79,-107.24,-0.41,2.98
165,valle de allende,0,MX,1551694250,44,26.94,-105.39,46.39,3.76
166,mosquera,75,CO,1551690000,87,4.71,-74.23,51.8,3.36
167,faya,0,SA,1551690000,20,18.39,42.45,71.6,9.17
168,chivay,88,PE,1551693980,95,-15.64,-71.6,35.68,2.48
169,saldanha,8,PT,1551694250,85,41.42,-6.55,46.7,8.86
170,najran,0,SA,1551690000,22,17.54,44.22,78.8,4.7
171,laguna,32,MX,1551694196,53,27.52,-110.01,58.13,3.76
172,wajir,40,KE,1551690000,44,1.75,40.07,93.2,8.05
173,airai,64,TL,1551694251,83,-8.93,125.41,75.91,1.86
174,victoria,75,BN,1551691800,83,5.28,115.24,82.4,9.17
175,atasu,92,KZ,1551694252,100,48.68,71.64,32.75,13.11
176,gisborne,12,NZ,1551694207,95,-38.66,178.02,59.0,3.0
177,khvorostyanka,68,RU,1551694253,95,52.62,48.95,28.66,11.36
178,lincoln,75,GB,1551694203,70,53.23,-0.54,48.99,19.46
179,trincomalee,8,LK,1551694254,56,8.58,81.23,90.58,8.79
180,udala,75,ES,1551694205,66,43.08,-2.51,57.0,4.7
181,kavieng,32,PG,1551694255,100,-2.57,150.8,84.23,3.83
182,flekkefjord,92,NO,1551694202,94,58.3,6.66,41.0,10.0
183,porto torres,0,IT,1551691200,77,40.84,8.4,59.0,20.8
184,lyuban,92,BY,1551694257,98,52.8,28.0,44.59,15.05
