City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
499,knysna,92,ZA,1552244400,88,-34.04,23.05,64.4,20.8
500,fonte boa,88,BR,1552245561,100,-2.51,-66.09,75.1,3.38
501,crawfordsville,75,US,1552245559,69,40.04,-86.9,43.0,8.05
502,ust-kuyga,68,RU,1552245562,71,70.0,135.55,-11.13,2.98
503,haines junction,80,CA,1552245562,75,60.75,-137.51,26.14,9.13
504,abu kamal,44,SY,1552245562,40,34.45,40.92,55.84,9.86
505,devils lake,1,US,1552245300,73,48.11,-98.87,19.4,10.29
506,sorland,20,NO,1552242000,58,67.67,12.69,30.2,13.87
507,hualmay,0,PE,1552245563,67,-11.1,-77.61,81.04,5.1
508,saint-pierre,0,FR,1552245496,52,48.95,4.24,48.2,24.16
509,zbysov,20,CZ,1552245520,81,49.16,16.35,55.0,12.75
510,armidale,12,AU,1552243536,71,-30.51,151.67,59.0,4.72
511,baraya,68,NE,1552245565,19,13.54,6.96,90.13,6.89
512,nemuro,0,JP,1552245565,93,43.32,145.57,31.54,9.53
513,lentekhi,32,GE,1552245565,72,42.79,42.72,33.38,1.59
514,edenderry,75,IE,1552245524,80,53.34,-7.05,36.0,17.22
515,rio gallegos,0,AR,1552240800,37,-51.62,-69.22,69.8,9.17
516,faya,0,SA,1552240800,63,18.39,42.45,62.6,6.93
517,baiao,48,BR,1552245494,75,-2.79,-49.67,84.73,2.98
518,bara,20,NG,1552245567,30,10.41,10.6,87.52,1.3
519,cacapava do sul,20,BR,1552245567,64,-30.51,-53.49,74.74,14.61
520,suntar,0,RU,1552245567,74,62.16,117.65,5.08,5.32
521,wajid,0,SO,1552245567,27,3.81,43.25,84.68,10.76
522,northam,40,GB,1552245381,86,51.04,-4.21,45.0,23.04
523,nouakchott,0,MR,1552244400,8,18.08,-15.98,87.8,9.17
524,zastron,92,ZA,1552245568,100,-30.3,27.08,57.01,3.83
525,nizwa,0,OM,1552245568,44,22.93,57.53,50.98,2.82
526,san quintin,8,PH,1552245569,78,17.54,120.52,63.94,2.82
527,russkaya polyana,92,RU,1552245569,85,53.78,73.88,18.04,12.33
528,pontes e lacerda,92,BR,1552245569,88,-15.23,-59.33,81.58,4.99
529,paita,40,PE,1552240800,290,-5.09,-81.11,62.6,5.82
530,pevek,0,RU,1552245570,83,69.7,170.27,-19.59,2.86
531,lysva,0,RU,1552245570,77,58.11,57.8,19.79,7.74
532,katol,0,IN,1552242600,32,21.28,78.59,80.6,3.36
533,chita,0,RU,1552242600,60,52.03,113.5,8.6,2.24
534,purpe,88,RU,1552245383,90,64.48,76.69,24.01,13.82
535,talaban,0,IQ,1552240800,71,35.38,44.92,50.0,5.82
536,monrovia,20,LR,1552244400,78,6.33,-10.8,82.4,6.93
537,port lincoln,92,AU,1552245571,97,-34.72,135.86,64.39,6.33
538,shetpe,64,KZ,1552245509,43,44.14,52.16,50.17,11.43
539,karoi,24,ZW,1552245572,60,-16.82,29.68,73.43,4.38
540,moissala,0,TD,1552245572,21,8.34,17.77,86.35,6.73
541,tautira,90,PF,1552245187,83,-17.73,-149.15,82.0,5.82
542,yulin,0,CN,1552245572,73,38.3,109.75,27.26,7.0
543,mpika,20,ZM,1552245573,93,-11.84,31.4,64.39,3.09
544,thinadhoo,0,MV,1552245513,100,0.53,72.93,83.65,3.83
545,zabol,0,IR,1552240800,65,31.03,61.49,46.4,11.41
546,amalapuram,0,IN,1552245573,90,16.58,82.0,78.88,7.9
